Timestamp_ms,RAW_ADC,Label
5760,208,Rest
5769,20,Rest
5779,186,Rest
5789,18,Rest
5799,191,Rest
5809,19,Rest
5819,228,Rest
5829,20,Rest
5839,300,Rest
5849,22,Rest
5859,414,Rest
5869,27,Rest
5879,464,Rest
5889,27,Rest
5899,515,Rest
5909,26,Rest
5919,412,Rest
5929,25,Rest
5939,569,Rest
5949,29,Rest
5959,310,Rest
5969,19,Rest
5979,395,Rest
5989,27,Rest
5999,371,Rest
6009,29,Rest
6019,343,Rest
6029,35,Rest
6039,366,Rest
6049,38,Rest
6059,262,Rest
6069,34,Rest
6079,288,Rest
6089,171,Rest
6099,238,Rest
6109,36,Rest
6119,178,Rest
6129,901,Rest
6139,215,Rest
6149,1023,Rest
6159,194,Rest
6169,1023,Rest
6179,251,Rest
6189,1023,Rest
6199,200,Rest
6209,1023,Rest
6219,151,Rest
6228,1023,Rest
6239,154,Rest
6249,1023,Rest
6259,177,Rest
6269,1023,Rest
6279,140,Rest
6289,1023,Rest
6299,138,Rest
6309,1023,Rest
6319,139,Rest
6329,1023,Rest
6339,113,Rest
6349,1023,Rest
6359,98,Rest
6369,1023,Rest
6379,93,Rest
6389,1023,Rest
6400,70,Rest
6409,1023,Rest
6419,93,Rest
6429,1023,Rest
6439,91,Rest
6449,1023,Rest
6459,87,Rest
6469,1023,Rest
6479,86,Rest
6489,1023,Rest
6499,62,Rest
6509,1023,Rest
6519,71,Rest
6529,1023,Rest
6539,63,Rest
6549,1023,Rest
6559,53,Rest
6569,1023,Rest
6579,71,Rest
6589,1023,Rest
6599,50,Rest
6609,1023,Rest
6619,39,Rest
6629,1023,Rest
6639,50,Rest
6649,1023,Rest
6659,40,Rest
6669,1023,Rest
6679,52,Rest
6689,1023,Rest
6699,45,Rest
6709,1023,Rest
6719,46,Rest
6729,1010,Rest
6739,29,Rest
6749,1023,Rest
6759,37,Rest
6769,850,Rest
6779,23,Rest
6789,1023,Rest
6799,29,Rest
6809,886,Rest
6819,25,Rest
6829,805,Rest
6839,24,Rest
6849,611,Rest
6859,18,Rest
6868,809,Rest
6879,26,Rest
6889,645,Rest
6899,24,Rest
6909,632,Rest
6919,24,Rest
6929,599,Rest
6939,26,Rest
6949,512,Rest
6959,24,Rest
6969,467,Rest
6979,24,Rest
6989,454,Rest
6999,26,Rest
7009,542,Rest
7019,30,Rest
7029,476,Rest
7040,28,Rest
7049,382,Rest
7059,29,Rest
7069,472,Rest
7079,32,Rest
7089,410,Rest
7099,30,Rest
7109,438,Rest
7119,32,Rest
7129,530,Rest
7139,33,Rest
7149,298,Rest
7159,25,Rest
7169,351,Rest
7179,25,Rest
7189,522,Rest
7199,30,Rest
7209,321,Rest
7219,20,Rest
7229,284,Rest
7239,18,Rest
7249,187,Rest
7259,16,Rest
7269,275,Rest
7279,18,Rest
7289,243,Rest
7299,18,Rest
7309,241,Rest
7319,20,Rest
7329,226,Rest
7339,22,Rest
7349,147,Rest
7359,24,Rest
7369,203,Rest
7379,29,Rest
7389,165,Rest
7399,30,Rest
7409,226,Rest
7419,39,Rest
7429,142,Rest
7439,28,Rest
7449,158,Rest
7459,768,Rest
7469,135,Rest
7479,1023,Rest
7489,165,Rest
7499,1023,Rest
7508,141,Rest
7519,1023,Rest
7529,120,Rest
7539,1023,Rest
7549,125,Rest
7559,1023,Rest
7569,111,Rest
7579,1023,Rest
7589,89,Rest
7599,1023,Rest
7609,87,Rest
7619,1023,Rest
7629,104,Rest
7639,1023,Rest
7649,101,Rest
7659,1023,Rest
7669,83,Rest
7680,1023,Rest
7689,70,Rest
7699,1023,Rest
7709,67,Rest
7719,1023,Rest
7729,63,Rest
7739,1023,Rest
7749,65,Rest
7759,1023,Rest
7769,54,Rest
7779,1023,Rest
7789,84,Rest
7799,1023,Rest
7809,53,Rest
7819,1023,Rest
7829,47,Rest
7839,1023,Rest
7849,44,Rest
7859,1023,Rest
7869,50,Rest
7879,1023,Rest
